turns,b_field_power,b_field_current,current,voltage,power
453,0.13034459435669296,0.13034459435669293,40.0,148.37672987866213,5935.069195146485
454,0.13063233076807637,0.13063233076807637,40.0,148.7042723287254,5948.170893149017
455,0.1309200671794598,0.1309200671794598,40.0,149.03181477878869,5961.272591151547
456,0.13120780359084325,0.13120780359084322,40.0,149.35935722885196,5974.374289154079
457,0.13149554000222666,0.13149554000222666,40.0,149.68689967891524,5987.475987156609
458,0.13178327641361007,0.1317832764136101,40.0,150.0144421289785,6000.57768515914
459,0.1320710128249935,0.13207101282499353,40.0,150.34198457904176,6013.679383161671
460,0.13235874923637692,0.13235874923637694,40.0,150.66952702910504,6026.781081164201
461,0.13264648564776038,0.13264648564776035,40.0,150.99706947916832,6039.882779166733
462,0.13293422205914382,0.13293422205914382,40.0,151.3246119292316,6052.984477169264
463,0.13322195847052726,0.13322195847052723,40.0,151.65215437929487,6066.086175171795
464,0.13350969488191067,0.13350969488191067,40.0,151.97969682935815,6079.187873174325
465,0.13379743129329408,0.13379743129329408,40.0,152.3072392794214,6092.289571176856
466,0.13408516770467752,0.13408516770467752,40.0,152.63478172948467,6105.391269179387
467,0.13437290411606093,0.13437290411606095,40.0,152.96232417954795,6118.492967181917
468,0.13466064052744436,0.13466064052744436,40.0,153.2898666296112,6131.594665184449
469,0.1349483769388278,0.1349483769388278,40.0,153.61740907967447,6144.696363186979
470,0.13523611335021124,0.13523611335021124,40.0,153.94495152973778,6157.798061189511
471,0.13552384976159465,0.13552384976159465,40.0,154.27249397980103,6170.8997591920415
472,0.1358115861729781,0.1358115861729781,40.0,154.6000364298643,6184.001457194572
473,0.1360993225843615,0.1360993225843615,40.0,154.92757887992758,6197.103155197103
474,0.13638705899574494,0.13638705899574494,40.0,155.25512132999086,6210.204853199634
475,0.13667479540712837,0.13667479540712837,40.0,155.5826637800541,6223.306551202165
476,0.13696253181851178,0.13696253181851178,40.0,155.91020623011738,6236.4082492046955
477,0.13725026822989522,0.13725026822989522,40.0,156.23774868018066,6249.509947207226
478,0.13753800464127866,0.13753800464127866,40.0,156.56529113024393,6262.611645209758
479,0.1378257410526621,0.1378257410526621,40.0,156.8928335803072,6275.713343212288
480,0.1381134774640455,0.1381134774640455,40.0,157.2203760303705,6288.815041214819
481,0.13840121387542895,0.13840121387542892,40.0,157.54791848043374,6301.91673921735
482,0.13868895028681236,0.13868895028681238,40.0,157.875460930497,6315.018437219881
483,0.13897668669819577,0.1389766866981958,40.0,158.2030033805603,6328.120135222412
484,0.1392644231095792,0.13926442310957923,40.0,158.53054583062357,6341.221833224942
485,0.13955215952096264,0.13955215952096264,40.0,158.85808828068684,6354.323531227474
486,0.13983989593234605,0.13983989593234608,40.0,159.18563073075012,6367.425229230004
487,0.14012763234372952,0.14012763234372952,40.0,159.5131731808134,6380.526927232536
488,0.14041536875511293,0.14041536875511293,40.0,159.84071563087664,6393.6286252350665
489,0.14070310516649637,0.14070310516649637,40.0,160.16825808093995,6406.730323237598
490,0.1409908415778798,0.1409908415778798,40.0,160.49580053100323,6419.832021240129
491,0.14127857798926322,0.14127857798926322,40.0,160.82334298106647,6432.933719242659
492,0.14156631440064663,0.14156631440064665,40.0,161.15088543112975,6446.03541724519
493,0.14185405081203006,0.14185405081203006,40.0,161.47842788119303,6459.13711524772
494,0.1421417872234135,0.1421417872234135,40.0,161.80597033125628,6472.238813250252
495,0.14242952363479694,0.14242952363479694,40.0,162.13351278131955,6485.340511252783
496,0.14271726004618038,0.14271726004618035,40.0,162.46105523138283,6498.442209255313
497,0.1430049964575638,0.1430049964575638,40.0,162.7885976814461,6511.543907257844
498,0.1432927328689472,0.14329273286894723,40.0,163.11614013150938,6524.645605260374
499,0.14358046928033064,0.14358046928033064,40.0,163.44368258157263,6537.747303262906
500,0.14386820569171407,0.14386820569171407,40.0,163.7712250316359,6550.8490012654365
501,0.14415594210309748,0.14415594210309748,40.0,164.09876748169918,6563.950699267967
502,0.1444436785144809,0.14444367851448095,40.0,164.42630993176243,6577.052397270498
503,0.14473141492586433,0.14473141492586436,40.0,164.7538523818257,6590.154095273028
504,0.14501915133724777,0.1450191513372478,40.0,165.08139483188899,6603.255793275559
505,0.14530688774863124,0.1453068877486312,40.0,165.4089372819523,6616.357491278091
506,0.14559462416001465,0.14559462416001465,40.0,165.73647973201557,6629.459189280622
507,0.14588236057139808,0.14588236057139808,40.0,166.06402218207882,6642.5608872831535
508,0.1461700969827815,0.1461700969827815,40.0,166.3915646321421,6655.662585285684
509,0.14645783339416493,0.14645783339416493,40.0,166.71910708220537,6668.764283288215
510,0.14674556980554834,0.14674556980554837,40.0,167.04664953226865,6681.865981290745
511,0.14703330621693175,0.14703330621693178,40.0,167.37419198233192,6694.967679293276
512,0.1473210426283152,0.14732104262831522,40.0,167.70173443239517,6708.0693772958075
